,Date,PARK
927,2016/12/2,102
928,2016/12/3,103
929,2016/12/4,98
930,2016/12/5,98
931,2016/12/6,99
932,2016/12/7,93
933,2016/12/8,89
934,2016/12/9,96
935,2016/12/10,101
936,2016/12/11,101
937,2016/12/12,102
938,2016/12/13,99
939,2016/12/14,96
940,2016/12/15,92
941,2016/12/16,88
942,2016/12/17,85
943,2016/12/18,73
944,2016/12/19,67
945,2016/12/20,64
946,2016/12/21,60
947,2016/12/22,54
948,2016/12/23,52
949,2016/12/24,49
950,2016/12/25,45
951,2016/12/26,41
952,2016/12/27,39
953,2016/12/28,54
954,2016/12/29,55
955,2016/12/30,55
956,2016/12/31,59
957,2017/1/1,63
958,2017/1/2,63
959,2017/1/3,59
960,2017/1/4,57
961,2017/1/5,64
962,2017/1/6,73
963,2017/1/7,79
964,2017/1/8,84
965,2017/1/9,91
966,2017/1/10,91
967,2017/1/11,90
968,2017/1/12,92
969,2017/1/13,92
970,2017/1/14,91
971,2017/1/15,90
972,2017/1/16,92
973,2017/1/17,92
974,2017/1/18,93
975,2017/1/19,94
976,2017/1/20,92
977,2017/1/21,93
978,2017/1/22,94
979,2017/1/23,95
980,2017/1/24,93
981,2017/1/25,91
982,2017/1/26,90
983,2017/1/27,92
984,2017/1/28,92
985,2017/1/29,90
986,2017/1/30,90
987,2017/1/31,92
988,2017/2/1,86
989,2017/2/2,92
990,2017/2/3,92
991,2017/2/4,89
992,2017/2/5,87
993,2017/2/6,92
994,2017/2/7,93
995,2017/2/8,91
996,2017/2/9,88
997,2017/2/10,86
998,2017/2/11,78
999,2017/2/12,83
1000,2017/2/13,78
1001,2017/2/14,84
1002,2017/2/15,84
1003,2017/2/16,87
1004,2017/2/17,86
1005,2017/2/18,86
1006,2017/2/19,85
1007,2017/2/20,86
1008,2017/2/21,87
1009,2017/2/22,84
1010,2017/2/23,80
1011,2017/2/24,72
1012,2017/2/25,68
1013,2017/2/26,61
1014,2017/2/27,56
1015,2017/2/28,52
1016,2017/3/1,46
1017,2017/3/2,42
